,objectID,dimensions,width,height,depth
150,1982.27.14,102.9 x 119.4 x nan cm,102.9,119.4,
151,1982.27.15,120.7 x 135.9 x nan cm,120.7,135.9,
152,1982.27.16,81.3 x 141.0 x nan cm,81.3,141.0,
153,1982.27.17,92.1 x 116.8 x nan cm,92.1,116.8,
154,1982.27.18,91.4 x 114.3 x nan cm,91.4,114.3,
155,1982.27.19,102.9 x 109.2 x nan cm,102.9,109.2,
156,1982.27.2,86.4 x 109.2 x nan cm,86.4,109.2,
157,1982.27.20,108.0 x 111.8 x nan cm,108.0,111.8,
158,1982.27.21,137.2 x 152.4 x nan cm,137.2,152.4,
159,1982.27.4,76.2 x 91.4 x nan cm,76.2,91.4,
160,1982.27.6,137.2 x 195.6 x nan cm,137.2,195.6,
161,1982.27.7,118.7 x 134.6 x nan cm,118.7,134.6,
162,1982.27.8,82.6 x 95.3 x nan cm,82.6,95.3,
163,1982.27.9,132.1 x 154.9 x nan cm,132.1,154.9,
164,1982.7.2,121.9 x 162.6 x nan cm,121.9,162.6,
165,1983.10.21,101.6 x 73.0 x nan cm,101.6,73.0,
166,1983.10.22,59.7 x 92.7 x nan cm,59.7,92.7,
167,1983.10.26,21.6 x 35.6 x nan cm,21.6,35.6,
168,1983.10.27,40.6 x 55.9 x nan cm,40.6,55.9,
169,1983.10.28,40.6 x 55.9 x nan cm,40.6,55.9,
170,1983.10.30,44.5 x 53.3 x nan cm,44.5,53.3,
171,1983.10.33,27.3 x 50.2 x nan cm,27.3,50.2,
172,1983.10.45,34.3 x 24.1 x nan cm,34.3,24.1,
173,1983.10.46,21.6 x 27.9 x nan cm,21.6,27.9,
174,1983.10.47,35.6 x 38.1 x nan cm,35.6,38.1,
175,1983.10.50,35.6 x 16.5 x nan cm,35.6,16.5,
176,1983.10.51,14.6 x 19.7 x nan cm,14.6,19.7,
177,1983.10.53,68.6 x 73.0 x nan cm,68.6,73.0,
178,1983.10.59,73.7 x 47.0 x nan cm,73.7,47.0,
179,1983.10.61,54.6 x 34.9 x nan cm,54.6,34.9,
180,1983.10.65,22.9 x 30.5 x nan cm,22.9,30.5,
181,1983.10.66,24.1 x 27.9 x nan cm,24.1,27.9,
182,1983.10.67,45.1 x 33.7 x nan cm,45.1,33.7,
183,1983.10.68,40.0 x 49.5 x nan cm,40.0,49.5,
184,1983.10.8,20.5 x 26.5 x nan cm,20.5,26.5,
185,1983.10.81,90.7 x 106.7 x nan cm,90.7,106.7,
186,1983.10.83,71.1 x 46.4 x nan cm,71.1,46.4,
187,1983.21.15,20.3 x 45.7 x nan cm,20.3,45.7,
188,1983.21.24,,,,
189,1983.21.25,92.7 x 107.3 x nan cm,92.7,107.3,
190,1983.21.26,76.2 x 97.5 x nan cm,76.2,97.5,
191,1983.21.3,33.0 x 49.5 x nan cm,33.0,49.5,
192,1983.21.32,121.9 x 77.2 x nan cm,121.9,77.2,
193,1983.21.33,,,,
194,1983.21.34,,,,
195,1983.21.36,89.9 x 94.9 x nan cm,89.9,94.9,
196,1983.21.7,22.9 x 14.0 x nan cm,22.9,14.0,
197,1983.3.1,66.0 x 76.2 x nan cm,66.0,76.2,
198,1983.8.36,175.3 x 205.7 x nan cm,175.3,205.7,
199,1983.9.1,25.0 x 19.3 x nan cm,25.0,19.3,
200,1983.9.14,76.2 x 62.9 x nan cm,76.2,62.9,
201,1983.9.15,60.3 x 116.8 x nan cm,60.3,116.8,
202,1983.9.2,26.4 x 20.0 x nan cm,26.4,20.0,
203,1983.9.7,45.7 x 35.6 x nan cm,45.7,35.6,
204,1983.9.8,27.9 x 22.9 x nan cm,27.9,22.9,
205,1984.13.1,111.8 x 95.3 x nan cm,111.8,95.3,
206,1984.15.1,95.3 x 127.0 x nan cm,95.3,127.0,
207,1984.20.1,207.0 x 71.1 x nan cm,207.0,71.1,
208,1984.25.2,25.4 x 54.0 x nan cm,25.4,54.0,
209,1984.28.2,27.9 x 32.4 x nan cm,27.9,32.4,
210,1984.54.1,233.4 x 128.3 x nan cm,233.4,128.3,
211,1986.12.5,121.9 x 113.0 x nan cm,121.9,113.0,
212,1986.13.1,39.4 x 54.6 x nan cm,39.4,54.6,
213,1986.7.1,120.0 x 100.3 x 2.5 cm,120.0,100.3,2.5
214,1986.7.2,120.0 x 100.6 x 2.5 cm,120.0,100.6,2.5
215,1987.11.1,52.7 x 69.9 x nan cm,52.7,69.9,
216,1987.3.1,121.6 x 31.6 x nan cm,121.6,31.6,
217,1987.5.1,47.0 x 38.7 x nan cm,47.0,38.7,
218,1987.7.1,47.6 x 42.5 x 7.6 cm,47.6,42.5,7.6
219,1987.8.4,12.4 x 17.5 x nan cm,12.4,17.5,
220,1987.9.1,10.2 x 53.3 x nan cm,10.2,53.3,
221,1987.9.10,13.0 x 15.6 x nan cm,13.0,15.6,
222,1987.9.11,15.2 x 21.6 x nan cm,15.2,21.6,
223,1987.9.3,10.2 x 73.7 x nan cm,10.2,73.7,
224,1987.9.6,15.9 x 26.0 x nan cm,15.9,26.0,
225,1987.9.9,7.6 x 58.4 x nan cm,7.6,58.4,
226,1988.1.1,63.8 x 74.0 x 7.6 cm,63.8,74.0,7.6
227,1988.5.6,19.7 x 14.0 x nan cm,19.7,14.0,
228,1989.4.1,67.5 x 72.4 x nan cm,67.5,72.4,
229,1991.1.2,13.7 x 11.7 x nan cm,13.7,11.7,
230,1991.16.2,23.8 x 31.8 x nan cm,23.8,31.8,
231,1991.2.1,70.5 x 45.7 x nan cm,70.5,45.7,
232,1991.6.115,25.0 x 36.0 x nan cm,25.0,36.0,
233,1991.9.1,240.0 x 141.6 x 14.0 cm,240.0,141.6,14.0
234,1992.11.1,16.5 x 21.0 x nan cm,16.5,21.0,
235,1992.12.16,30.5 x 23.5 x nan cm,30.5,23.5,
236,1992.12.5,28.6 x 32.4 x 3342.6 cm,28.6,32.4,3342.6
